feature,mean_importance
Day_of_Week,0.0007172132909302076
2nd_Road_Number,0.0009469489812274801
1st_Road_Number,0.0074868572139533685
1st_Road_Class,0.008902313011650908
Number_of_Casualties,0.011437720553769515
Light_Conditions,0.011451974156121137
Weather_Conditions,0.015377125643492584
Number_of_Vehicles,0.016903865466152922
Road_Type,0.01699958134300439
Accident_Severity,0.023426194697667036
Road_Surface_Conditions,0.03851705086972895
Carriageway_Hazards,0.04004395996591773
Special_Conditions_at_Site,0.04409755003478951
Pedestrian_Crossing-Physical_Facilities,0.07729784915714742
Pedestrian_Crossing-Human_Control,0.09027169654096744
Location_Easting_OSGR,0.177184988446969
Location_Northing_OSGR,0.36045795231863964
