feature,shap_importance
Pedestrian_Crossing-Physical_Facilities,1.7710866928100586
Pedestrian_Crossing-Human_Control,0.9770761132240295
Road_Type,0.5337904095649719
Road_Surface_Conditions,0.4997878670692444
Number_of_Vehicles,0.42413294315338135
Accident_Severity,0.4037870764732361
Weather_Conditions,0.3416983187198639
Number_of_Casualties,0.33190101385116577
Light_Conditions,0.2692827880382538
Day_of_Week,0.25011125206947327
Special_Conditions_at_Site,0.21147596836090088
Carriageway_Hazards,0.19224515557289124
