feature,mean_importance
Location_Easting_OSGR,-0.00040713094043608514
Urban_or_Rural_Area,-0.0003277031578746947
Speed_limit,-0.00032729005565953074
Number_of_Vehicles,-0.0003154962442432598
1st_Road_Class,-0.00016386675635719983
Longitude,-0.00012831259738743536
Pedestrian_Crossing-Human_Control,0.0
2nd_Road_Class,4.746823681215705e-05
Day_of_Week,7.483649089559002e-05
Pedestrian_Crossing-Physical_Facilities,7.787698588293863e-05
Road_Type,8.717398359226006e-05
1st_Road_Number,0.00013322244381796868
Light_Conditions,0.00013380381100422796
Road_Surface_Conditions,0.00018383865451068818
Special_Conditions_at_Site,0.00029254306560278924
Number_of_Casualties,0.00034413595673778196
2nd_Road_Number,0.00038816404751974295
Accident_Severity,0.00041059142756285066
Junction_Detail,0.00042189161989339365
Location_Northing_OSGR,0.0005685487341093455
Junction_Control,0.0006073538644696997
Carriageway_Hazards,0.0006362894407636663
Latitude,0.0009325835246233018
Local_Authority_(District),0.001455431700752543
Police_Force,0.0038571970903638307
Did_Police_Officer_Attend_Scene_of_Accident,7.436358569910188
