feature,shap_importance
Location_Northing_OSGR,0.18851071291831684
Pedestrian_Crossing-Human_Control,0.072535757745526
Accident_Severity,0.036453360638028835
Pedestrian_Crossing-Physical_Facilities,0.03391436787419797
Weather_Conditions,0.01474538065186769
Location_Easting_OSGR,0.008575494771845169
Road_Type,0.004693945511184309
Special_Conditions_at_Site,0.002549934206361898
Number_of_Vehicles,0.0017576459905909575
Road_Surface_Conditions,0.00016026255178697412
Number_of_Casualties,7.255373974039079e-05
Day_of_Week,1.7369575226275445e-05
1st_Road_Number,0.0
1st_Road_Class,0.0
2nd_Road_Number,0.0
Light_Conditions,0.0
Carriageway_Hazards,0.0
