feature,mean_importance
1st_Road_Class,-2.2204460492503132e-17
Carriageway_Hazards,0.0
Light_Conditions,0.0
1st_Road_Number,0.0
2nd_Road_Number,0.0
Day_of_Week,5.424218654459523e-07
Number_of_Casualties,1.4220124534558565e-05
Road_Surface_Conditions,0.0003043310227893281
Number_of_Vehicles,0.00033627871341972425
Special_Conditions_at_Site,0.003704408064351927
Road_Type,0.005394949884606493
Weather_Conditions,0.006784325143345838
Location_Easting_OSGR,0.00699542787270353
Accident_Severity,0.008023888564624415
Pedestrian_Crossing-Physical_Facilities,0.057639903657509664
Location_Northing_OSGR,0.15694515169868767
Pedestrian_Crossing-Human_Control,0.21619510449380677
