feature,shap_importance
Pedestrian_Crossing-Physical_Facilities,0.7201663255691528
Accident_Severity,0.5696834921836853
Pedestrian_Crossing-Human_Control,0.4217890501022339
Number_of_Vehicles,0.4154755473136902
Road_Type,0.31891143321990967
Number_of_Casualties,0.31669455766677856
Road_Surface_Conditions,0.2816631495952606
Weather_Conditions,0.21674947440624237
Light_Conditions,0.1951444000005722
Day_of_Week,0.12766000628471375
Special_Conditions_at_Site,0.10749534517526627
Carriageway_Hazards,0.08852895349264145
