feature,mean_importance
Day_of_Week,-0.0009460207067902404
1st_Road_Number,0.0004971547898308781
2nd_Road_Number,0.000812595293842966
1st_Road_Class,0.006005340576739982
Number_of_Casualties,0.006566224877313287
Weather_Conditions,0.0075791395844507555
Carriageway_Hazards,0.008135764056523142
Road_Type,0.008674747881133071
Light_Conditions,0.009365211263550189
Number_of_Vehicles,0.013953345359140102
Accident_Severity,0.02075294608616014
Road_Surface_Conditions,0.021760481604564008
Special_Conditions_at_Site,0.05217931854995535
Pedestrian_Crossing-Physical_Facilities,0.057704283709002914
Pedestrian_Crossing-Human_Control,0.1137954121296734
Location_Easting_OSGR,0.16245779646074326
Location_Northing_OSGR,0.3675985297854031
