feature,shap_importance
Pedestrian_Crossing-Human_Control,0.09282196642852959
Accident_Severity,0.061729603315270734
Pedestrian_Crossing-Physical_Facilities,0.05744556236074272
Weather_Conditions,0.03230768943018447
Number_of_Casualties,0.016321747206785753
Road_Surface_Conditions,0.0024843454450002387
Special_Conditions_at_Site,0.0018926908049624594
Carriageway_Hazards,0.001681501175088927
Road_Type,0.0011427150329548575
Number_of_Vehicles,0.000309057986442476
Day_of_Week,3.470305369362859e-05
Light_Conditions,2.5118413747877917e-05
