feature,shap_importance
Location_Northing_OSGR,3.367082357406616
Location_Easting_OSGR,1.8230551481246948
Pedestrian_Crossing-Physical_Facilities,0.430186927318573
Accident_Severity,0.40030109882354736
Number_of_Vehicles,0.2895817160606384
Pedestrian_Crossing-Human_Control,0.28806763887405396
Number_of_Casualties,0.26593443751335144
Road_Surface_Conditions,0.2537291347980499
1st_Road_Class,0.23281562328338623
1st_Road_Number,0.20056059956550598
Light_Conditions,0.19099491834640503
Weather_Conditions,0.17694896459579468
Road_Type,0.17394673824310303
Day_of_Week,0.1229708343744278
2nd_Road_Number,0.08514915406703949
Special_Conditions_at_Site,0.08452709019184113
Carriageway_Hazards,0.08182791620492935
