name,model_type,metric_type,metric_value,train_time
1_Baseline,Baseline,logloss,1.0986122886681096,2.12
2_DecisionTree,Decision Tree,logloss,0.9231139372305537,38.19
3_Default_Xgboost,Xgboost,logloss,0.7539676103473674,157.35
4_Default_NeuralNetwork,Neural Network,logloss,0.8170907604077614,93.83
5_Default_RandomForest,Random Forest,logloss,0.8938922217847994,27.08
Ensemble,Ensemble,logloss,0.7539676087947574,1.55
