feature,mean_importance
Day_of_Week,-4.865812727183894e-07
Light_Conditions,6.956730882468066e-08
2nd_Road_Number,1.253459626804343e-05
Number_of_Vehicles,0.00014283438992319654
Special_Conditions_at_Site,0.0001626904919870942
Carriageway_Hazards,0.0001906766745511046
Road_Type,0.0003652519326996284
Number_of_Casualties,0.0004665723963370061
1st_Road_Number,0.0017246305505735915
1st_Road_Class,0.003080136809836276
Road_Surface_Conditions,0.0031947920516823824
Accident_Severity,0.01595425914393527
Weather_Conditions,0.021891203587505226
Pedestrian_Crossing-Physical_Facilities,0.3329491024488641
Pedestrian_Crossing-Human_Control,0.38099279354613785
